"","status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value","module","supermodule","dim_1","dim_2"
"Ncbp1","OK",1.27628234536547e-174,28.1477597775658,0.0610273216783196,"Ncbp1",4.25603359696086e-174,"4","1",-2.45704143284558,-1.48480122345031
"Nans","OK",0,80.2159106036665,0.174102005816978,"Nans",0,"4","1",-3.26476543186902,-2.44109647529663
"Trim14","OK",2.06743570402082e-59,16.2122015549485,0.0351159549326534,"Trim14",4.93678000509755e-59,"4","1",-1.64225261448621,-1.38355820434631
"Galnt12","OK",2.72659661378282e-25,10.324624185812,0.0223040900635988,"Galnt12",5.39858378511361e-25,"4","1",-1.6615249419093,-1.48609154480041
"Alg2","OK",1.41175272521803e-185,29.029122926119,0.0629387478819982,"Alg2",4.8093123629426e-185,"4","1",-2.27092569111585,-0.718756368332516
"Fktn","OK",1.68784415746735e-14,7.58303304191476,0.0163682024475212,"Fktn",3.02595484086489e-14,"4","1",-2.32728116749524,-1.34066813247741
"Klf4","OK",3.27549765837044e-179,28.5203604265519,0.0616680516723657,"Klf4",1.10139237698508e-178,"4","1",-3.7909480833888,-1.03087251442016
"Ctnnal1","OK",1.01286414557316e-11,6.70415667319228,0.0144354709222312,"Ctnnal1",1.75965048782512e-11,"4","1",-2.16509311436414,-1.1807870175177
"Inip","OK",2.72169525354677e-13,7.21374436069024,0.0155712822502706,"Inip",4.80467008872088e-13,"4","1",-2.31581824063062,-1.02686875122131
"Plaa","OK",0,50.5946929141339,0.109779166124259,"Plaa",0,"4","1",-2.58776777027844,-1.1360716130072
"Lepr","OK",1.40442666572587e-16,8.18126247017912,0.0175962601583089,"Lepr",2.57694046209048e-16,"4","1",-3.68795745609998,-1.84221093910278
"Acot11","OK",4.63852603513003e-19,8.84349456109777,0.0190639236495206,"Acot11",8.74030182443403e-19,"4","1",-3.80636947392224,-1.61225121276916
"Cc2d1b","OK",1.87457012016249e-15,7.8630424048708,0.0169606791211815,"Cc2d1b",3.39969676307845e-15,"4","1",-3.18952028988599,-1.22006719368042
"Ttc39aos1","OK",1.7477930334673e-101,21.3551085274858,0.0454548099469426,"Ttc39aos1",4.81680443378046e-101,"4","1",-4.04607742069959,-1.79933803337158
"Ttc39a","OK",1.03756419934209e-98,21.0546034044811,0.0456035910679,"Ttc39a",2.83700860573142e-98,"4","1",-3.49340551136731,-2.06548469322265
"Rnf11","OK",0,65.4623362744319,0.142059004359628,"Rnf11",0,"4","1",-3.10216038464307,-1.03647892730774
"Faf1","OK",7.21303590635128e-286,36.1125214608988,0.0783313066475276,"Faf1",2.92472477356498e-285,"4","1",-2.39763562916516,-1.27229159133972
"Cyp4a31","OK",0,65.1706571062922,0.141414421798164,"Cyp4a31",0,"4","1",-3.51221959828137,-2.15348832862915
"Cyp4a32","OK",3.44999358084611e-10,6.16836465989481,0.0132685805967336,"Cyp4a32",5.86013209614289e-10,"4","1",-2.79312341450452,-1.38761012809814
"Mknk1","OK",0,42.6834336252123,0.0925408334033866,"Mknk1",0,"4","1",-3.88289802311658,-1.43263428466858
"Lrrc41","OK",0,56.3034344239761,0.122166678239574,"Lrrc41",0,"4","1",-1.95162623165845,-1.29737704055847
"Pomgnt1","OK",3.73127548745398e-173,28.0277387163816,0.060749502051791,"Pomgnt1",1.23914898773857e-172,"4","1",-3.15727799175977,-1.8923131729895
"Btbd19","OK",0.000844180790703255,3.14019370415664,0.00672008869530208,"Btbd19",0.00125757167567042,"4","1",-3.16778342961072,-0.774886777573238
"Slc6a9","OK",3.94593371010597e-252,33.8950050331977,0.0734923526930587,"Slc6a9",1.51842145253525e-251,"4","1",-2.78202049969434,-0.786072423630367
"9530034E10Rik","OK",2.39194885251486e-40,13.2456083250984,0.0285124316886935,"9530034E10Rik",5.21882845893282e-40,"4","1",-3.88547342060803,-1.53738110321106
"Tmem125","OK",1.11848717212743e-21,9.49336344481673,0.0205029040877347,"Tmem125",2.15444109849259e-21,"4","1",-3.04659788845777,-1.4340383316809
"Ebna1bp2","OK",0,42.9537914596517,0.0931902327796509,"Ebna1bp2",0,"4","1",-2.5038899683833,-1.03239982383789
"Slc2a1","OK",0,41.4723135886512,0.089934871070251,"Slc2a1",0,"4","1",-3.60032289265393,-1.3464979435736
"P3h1","OK",0,54.4026096665045,0.118015528966312,"P3h1",0,"4","1",-3.74458568333386,-1.91680448310913
"Scmh1","OK",2.8616283336762e-22,9.63438700420583,0.0208323377368229,"Scmh1",5.54065339359621e-22,"4","1",-2.19385783909558,-1.8609296585852
"Ctps","OK",1.57592699973348e-87,19.7971234684164,0.0428798503381118,"Ctps",4.16702837220295e-87,"4","1",-2.34995310543775,-1.75797479408325
"Zfp69","OK",0.00344228951932091,2.70237632999484,0.00578462660173848,"Zfp69",0.00500438352035619,"4","1",-1.31184916733502,-1.31124799507202
