"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"Rora" 0.037471127259875 0.000227987675972531 0.518 0.479 1 "0" "Rora"
"Bmyc1" 0 0.0310969597926067 1 1 0 "2" "Bmyc"
"Ybx1" 0 0.0173253898360133 1 1 0 "2" "Ybx1"
"Nfe21" 1.43321229840051e-212 0.00686225802681585 1 1 2.03516146372872e-210 "2" "Nfe2"
"Nr1h41" 8.38380389933195e-131 0.00449793175060228 1 0.997 1.19050015370514e-128 "2" "Nr1h4"
"Sap301" 3.6534582023626e-110 0.00328064660662587 1 1 5.1879106473549e-108 "2" "Sap30"
"Xrcc41" 1.8882287209527e-58 0.0045986041409255 1 1 2.68128478375284e-56 "2" "Xrcc4"
"Thap12" 1.00763900165394e-36 0.00387074283281508 1 1 1.43084738234859e-34 "2" "Thap1"
"Mafb1" 2.44154058694653e-30 0.00664853583985502 0.855 0.781 3.46698763346407e-28 "2" "Mafb"
"Gtf2f11" 9.31100629966804e-21 0.00202045001052303 1 1 1.32216289455286e-18 "2" "Gtf2f1"
"Irf71" 8.60127114906381e-17 0.00107741361945235 1 1 1.22138050316706e-14 "2" "Irf7"
"Mafg1" 1.07344988585734e-13 0.00168609481538159 0.562 0.519 1.52429883791743e-11 "2" "Mafg"
"Usf11" 6.70451999929728e-13 0.00290238968826545 1 1 9.52041839900214e-11 "2" "Usf1"
"Brf22" 4.27718726218225e-10 0.00122721961524841 1 1 6.0736059122988e-08 "2" "Brf2"
"Tbp2" 0.0437558954559415 0.000365591708792787 1 1 1 "2" "Tbp"
"Cebpb1" 0 0.0214577837091743 1 1 0 "1" "Cebpb"
"Pole4" 0 0.0131910099032522 0.977 0.933 0 "1" "Pole4"
"Mlx" 0 0.00976693628625609 0.899 0.708 0 "1" "Mlx"
"Mxi11" 0 0.00780520366876153 1 1 0 "1" "Mxi1"
"Nfil3" 0 0.00568192182498805 0.984 0.916 0 "1" "Nfil3"
"Irf9" 0 0.00251167805472374 0.726 0.353 0 "1" "Irf9"
"Supt202" 4.92621741466579e-290 0.00496849780714947 1 1 6.99522872882542e-288 "1" "Supt20"
"Npdc11" 1.7263484125571e-277 0.00294303529791691 1 0.992 2.45141474583108e-275 "1" "Npdc1"
"Ets12" 9.59349491718896e-220 0.00469973185329656 1 1 1.36227627824083e-217 "1" "Ets1"
"Ctcf2" 1.32664174454203e-211 0.0072081431856128 1 1 1.88383127724968e-209 "1" "Ctcf"
"Creb3l21" 9.72363693708273e-180 0.00158967600890966 0.895 0.806 1.38075644506575e-177 "1" "Creb3l2"
"Cebpg1" 1.3389088894006e-179 0.00281934892186943 0.716 0.553 1.90125062294885e-177 "1" "Cebpg"
"Usf12" 4.52372763199984e-160 0.00819425516398214 1 1 6.42369323743978e-158 "1" "Usf1"
"Rarg1" 8.57813689826239e-157 0.0022142851176042 1 1 1.21809543955326e-154 "1" "Rarg"
"Creb31" 1.54272254928531e-134 0.00235230486627316 1 1 2.19066601998514e-132 "1" "Creb3"
"Srf2" 7.2261043223107e-124 0.00221518949645126 1 1 1.02610681376812e-121 "1" "Srf"
"Ubtf2" 4.0490675266082e-123 0.00557592982948377 1 1 5.74967588778364e-121 "1" "Ubtf"
"Tgif11" 5.72131696668602e-123 0.000769479521184738 0.887 0.749 8.12427009269415e-121 "1" "Tgif1"
"Esrra2" 9.42839561400811e-112 0.00315896018415892 1 1 1.33883217718915e-109 "1" "Esrra"
"Zmiz12" 2.79937592050243e-102 0.00402013836273557 1 1 3.97511380711345e-100 "1" "Zmiz1"
